route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
DZB8;DZD0;DZB7;DZB5;DZD1;DZB9,135,CAPE TOWN,MALMESBURY,
CSA3,136,BONTEHEUWEL,HANOVER PARK,
CTA0,136,EINDHOVEN,HANOVER PARK,
APB2;EGE7;KMH1;EGE6;KMH0;APC1,137,CAPE TOWN,PHILIPPI EAST SAP,
APD7;APD6,137,NYANGA TERM,PHILIPPI EAST SAP,
APD9;APJ8,137,MOWBRAY,PHILIPPI EAST SAP,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,137,CAPE TOWN,NYANGA TERM,
DXA0;DXA1,137,CAPE TOWN,MOWBRAY,
EGA2;EGA3;EGA6;EGA7;EGA9;EGC2;EGC3;EGC4;EGH7,137,MOWBRAY,NYANGA TERM,
AFA8,139,BELLVILLE,SACKS CIRCLE,
APA7;APC5;APH9,139,DURBANVILLE,PHILIPPI EAST SAP,
APD3;APE9;APF8;APD2;APC2;APE0;APC3;APD5;APA1,139,BELLVILLE,PHILIPPI EAST SAP,
APD7;APD6,139,NYANGA TERM,PHILIPPI EAST SAP,
APG2;APG3,139,ESCOM (BRACKENFELL),NYANGA TERM,
BAA0,139,BELLVILLE,DURBANVILLE,
BAA4;BAA5,139,BELLVILLE,ESCOM (BRACKENFELL),
BAB1,139,BELLVILLE,TYGER VALLEY CENTRE,
ECA0;ECA1;ECA4;ECA5;ECA6;ECA8;ECB6;ECB3,139,BELLVILLE,NYANGA TERM,
ECA3;ECD7;ECF8,139,DURBANVILLE,NYANGA TERM,
ECC1;ECF7,139,PHILIPPI EAST SAP,TYGER VALLEY CENTRE,
ECC7,139,NYANGA TERM,TYGER VALLEY CENTRE,
YER8;YEF8,139,BELLVILLE,DURBANVILLE,
DTJ1;DTG7;DTL1;DTM0;DTB0;DTL0;DTL4;DTG6;DTJ2,139,BLAAUWBERG RIDGE,NYANGA TERM,
DZA7,139,BELLVILLE,BLAAUWBERG RIDGE,
APA5;APC7;APA3;APE8,139,BLAAUWBERG RIDGE,PHILIPPI EAST SAP,
APH1,139,PHILIPPI EAST SAP,SPEKENAM,
ECC2,140,AIRPORT IND 2,NYANGA TERM,
ECC3,140,AIRPORT IND 1,NYANGA TERM,
KBB2;KBJ6;KBH0,140,AIRPORT IND 1,MAKHAZA,
KBG0;KBR3,140,AIRPORT IND 1,HARARE,
AAA6;AAA7,142,CAPE TOWN,SEA POINT,
BTB4,142,MOWBRAY,TOLLGATE STOP,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,142,CAPE TOWN,NYANGA TERM,
DXA0;DXA1,142,CAPE TOWN,MOWBRAY,
EGA2;EGA3;EGA6;EGA7;EGA9;EGC2;EGC3;EGC4;EGH7,142,MOWBRAY,NYANGA TERM,
KMA3;KME7;KMK6;KMH8;KMA2;KME6,142,MAKHAZA,MOWBRAY,
KMA4;KMA5;KME0;KMF6;KMG6;KMH4;KMI3;KMI7;KMJ3;KMJ7;KMR5;KMP6;KMV6;KMC0;KMJ2;KMI8;KMS4,142,CAPE TOWN,HARARE,
KMB4;KMF1,142,CAPE TOWN,ELITHA PARK,
KMB5;KMC3;KMD2;KME3;KMG8;KMH2;KMH3;KMH6;KMH7;KMJ9;KMO2;KMI4;KMJ8;KMJ4,142,CAPE TOWN,MAKHAZA,
KMB8;KMJ1;KML4,142,MAKHAZA,SEA POINT,
KMC5;KMC8;KMC4,142,GROOTE SCHUUR HOSP,VILLAGE 3,
KMC7;KMD1;KMN8;KMS0;KME4;KMD0;KME2,142,CAPE TOWN,VILLAGE 3,
KMC9;KMG3,142,SEA POINT,VILLAGE 3,
KMD7;KMF7;KMK5;KMM4,142,MOWBRAY,VILLAGE 3,
KME9;KMU4;KMU7;KME8,142,HARARE,MOWBRAY,
KMK0,142,MAKHAZA,SALT RIVER,
KMK2,142,HARARE,SALT RIVER,
KMR9;KMF0,142,GROOTE SCHUUR HOSP,MAKHAZA,
KXA8;KXA9,142,DRIFTSANDS,SITE C,
KMG4;KMA6;KMA7,142,CAPE TOWN,SITE C,
KMF4,142,MOWBRAY,SITE C,
KMF2,142,GROOTE SCHUUR HOSP,HARARE,
KMH9,142,HARARE,TOLLGATE STOP,
AAA6;AAA7,143,CAPE TOWN,SEA POINT,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,143,CAPE TOWN,NYANGA TERM,
DXA0;DXA1,143,CAPE TOWN,MOWBRAY,
EGA2;EGA3;EGA6;EGA7;EGA9;EGC2;EGC3;EGC4;EGH7,143,MOWBRAY,NYANGA TERM,
KMA3;KME7;KMK6;KMH8;KMA2;KME6,143,MAKHAZA,MOWBRAY,
KMA4;KMA5;KME0;KMF6;KMG6;KMH4;KMI3;KMI7;KMJ3;KMJ7;KMR5;KMP6;KMV6;KMC0;KMJ2;KMI8;KMS4,143,CAPE TOWN,HARARE,
KMB0;KMI0;KMA8,143,CAPE TOWN,J BLOCK,
KMB3;KMB7;KMB9;KMJ6;KMP9,143,CAPE TOWN,ENKANINI,
KMB5;KMC3;KMD2;KME3;KMG8;KMH2;KMH3;KMH6;KMH7;KMJ9;KMO2;KMI4;KMJ8;KMJ4,143,CAPE TOWN,MAKHAZA,
KMB8;KMJ1;KML4,143,MAKHAZA,SEA POINT,
KMC5;KMC8;KMC4,143,GROOTE SCHUUR HOSP,VILLAGE 3,
KMC7;KMD1;KMN8;KMS0;KME4;KMD0;KME2,143,CAPE TOWN,VILLAGE 3,
KMC9;KMG3,143,SEA POINT,VILLAGE 3,
KMD7;KMF7;KMK5;KMM4,143,MOWBRAY,VILLAGE 3,
KME9;KMU4;KMU7;KME8,143,HARARE,MOWBRAY,
KMG0,143,ATHLONE IND,VILLAGE 3,
KMR9;KMF0,143,GROOTE SCHUUR HOSP,MAKHAZA,
KMT6,143,CAPE TOWN,MAKHAYA,
KXA8;KXA9,143,DRIFTSANDS,SITE C,
KMC1,143,MAKHAYA,MOWBRAY,
KMG4;KMA6;KMA7,143,CAPE TOWN,SITE C,
KMF4,143,MOWBRAY,SITE C,
KMI1,143,CAPE TOWN,LUZUKO,
KMF2,143,GROOTE SCHUUR HOSP,HARARE,
MXF0;MXF1,144,KILLARNEY,KILLARNEY,
PAF2;PAB4;PAY3,144,ATLANTIS,MONTAGUE GARDENS,
PAK7;PAR7;PAA5,144,ATLANTIS,KILLARNEY,
DXA0;DXA1,145,CAPE TOWN,MOWBRAY,
MIC0;MIE8;MIE9;MIF2;MIF3,145,BEACON VALLEY,TOWN CENTRE,
MIC4;OMA0;OMA1,145,EASTRIDGE,TOWN CENTRE,
OPA1;OPB7;OPK4;OPP4;OPG4;OPP8;OPA2;OPA8;OPB0;OPB2;OPM4;OPN4;OPP9;OPW2;OPR8;OPY4;OPD8;OPA0;OPE5;OPT7;OPV3;OPZ6;OPX1;OPY3;OPA3;OPH2;OPH3;OPA5;OPB1;OPB4;OPA4;OPB5,145,CAPE TOWN,TOWN CENTRE,
OPB6;OPI6;OPX4;OPG8;OPW5;OPC8;OPF1;OPG9;OPL0,145,MOWBRAY,TOWN CENTRE,
OPM6,145,CAPE TOWN,EASTRIDGE,
OPY2;OPY0;OPJ4,145,BEACON VALLEY,CAPE TOWN,
KSA6;KSB2;KSC4;KSC5;KSI4,147,MFULENI,STRAND,
KSA7;KSL2,147,LWANDLE,MFULENI,
KSB5;RVB8,147,MFULENI,SOMERSET WEST,
KSD0,147,MFULENI,SOMERSET MALL,
KSF1,147,LWANDLE,MACASSAR,
RPA0;RPA1,147,STRAND,TEMPERANCE TOWN,
RQB4;RQA6;RQB1,147,MACASSAR,STRAND,
RRA0;RRA1;RRA3;RRB0;RRF9;RRI0,147,MACASSAR,SOMERSET WEST,
RRB9,147,BLACKHEATH,SOMERSET WEST,
RSA0;RSA1,147,LWANDLE,SOMERSET WEST,
MNR3;MNR2;MNN2,147,BLACKHEATH IND,EINDHOVEN,
RVA2,147,EINDHOVEN,SOMERSET WEST,
RPB6,147,MACASSAR,TEMPERANCE TOWN,
BIB6,148,EINDHOVEN,WYNBERG,
MNA2;MNH0;MNN3,148,MFULENI,WYNBERG,
MNS2;MNT2,148,ELECTRIC CITY,WYNBERG,
MNR3;MNR2;MNN2,148,BLACKHEATH,EINDHOVEN,
BIA9;BIB3;BIB2;BIA6,148,BELHAR,WYNBERG,
BIA1,148,ELECTRIC CITY,WYNBERG,EINDHOVEN;ROOSENDAL;VOORBRUG
BIB8;BIB1;BIA5;BIB0;BIA2;BIA3;BIA0,148,THE HAGUE,WYNBERG,
MNF4,148,MALIBU,WYNBERG,
MCA0;MCA1,149,MANDALAY,TOWN CENTRE,
LCA0;LCA1,151,MURDOCH VALLEY,SIMONSTOWN,
LCC5;LCC4,154,FISH HOEK,SEA FORTH SCH,
LBB2,155,KOMMETJIE,OCEAN VIEW,
LBE4;LBA8,155,OCEAN VIEW,SEA FORTH,
LSA6;LSA7,155,DA GAMA PARK,SEA FORTH SCH,
LSB5;LSD3;LSB8,155,OCEAN VIEW,SEA FORTH SCH,
LBA2;LBA4;LBE8;LBE9;LBA5;LBC5;LBE6,155,MURDOCH VALLEY,OCEAN VIEW,
LCD2,155,MURDOCH VALLEY,SEA FORTH,
LCD4;LCF4;LCF5,155,DA GAMA PARK,MURDOCH VALLEY,
LCG5,155,MURDOCH VALLEY,SEA FORTH SCH,
LSF9,155,KOMMETJIE,SEA FORTH,
CKB6,157,ELSIES RIVER,MONTAGUE GARDENS,
MXF0;MXF1,157,KILLARNEY,KILLARNEY GARDENS,
CKA3;CKC1,157,KILLARNEY,TYGERBERG HOSP,
CKA2,157,KILLARNEY GARDENS,TYGERBERG HOSP,
CKA0;CKC6,157,ELSIES RIVER,KILLARNEY,
MCA3;MCA2,160,CLAREMONT,MANDALAY,
MHI6;MHF8,160,CLAREMONT,CLOCK TOWER,
BPA5;BPA4,163,EPPING IND,MANENBERG,
DHB2;DHB3;OPN1,164,CAPE TOWN,LOTUS RIVER,
DXC2;DXC6;DXC0;DXC4;DXC5;DXC1;DXC7;DXC3,164,CAPE TOWN,RETREAT,
DXE0;DXA3;DXE1,164,CAPE TOWN,STEENBERG,
DHA2;DHA3,164,CAPE TOWN,GRASSY PARK,
CHA9,167,HEIDEVELD,KILLARNEY GARDENS,
MXF0;MXF1,167,KILLARNEY GARDENS,KILLARNEY GARDENS,
CHA8,167,HEIDEVELD,KILLARNEY GARDENS,
DZC3;DZC2,168,ATLAS GARDENS,KILLARNEY,
MXF0;MXF1,168,KILLARNEY,KILLARNEY,
YEB8,169,MAITLAND,MAKHAZA,
RRA0;RRA1;RRA3;RRB0;RRF9;RRI0,171,MACASSAR,SOMERSET WEST,
RRA2;RRB2;RRB3,171,HELDERBERG VILLAGE,MACASSAR,
RRA4,171,HELDERBERG VILLAGE,SOMERSET WEST,
BNA2,172,BELHAR,KILLARNEY GARDENS,
DAL9;DAB1;DAG2;DAG3;DAI3,172,BLAAUWBERG RIDGE,KILLARNEY,
MXF0;MXF1,172,KILLARNEY,KILLARNEY GARDENS,
BND3;BNC6;BNB3;BNB5;BNA9;BNB0;BNA0;BNA7;BNF5;BND5;BNA1,172,EINDHOVEN,KILLARNEY,
BNC5,172,KILLARNEY,SYMPHONY WAY,
BNC7;BNA8,172,EINDHOVEN,KILLARNEY GARDENS,
BNC1,172,CENTURY CITY,EINDHOVEN,
BNC9;BNC8,172,BLAAUWBERG,EINDHOVEN,
BNA3;BNE3,172,BELHAR,KILLARNEY,
CKA0;CKC6,172,ELSIES RIVER,KILLARNEY,
BNB9;BNB1,172,BLAAUWBERG RIDGE,EINDHOVEN,
BNC2,172,BELHAR,DU NOON,
MIA4;MIB5;MIH4;MIH6,174,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,174,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,174,BEACON VALLEY,TOWN CENTRE,
MIC2,174,MERRYDALE AVE,TOWN CENTRE,
MID5;MID8,174,ROCKLANDS,TOWN CENTRE,
OOB4,174,STRANDFONTEIN VILL,TOWN CENTRE,
MXL2,174,CENTURY CITY,STRANDFONTEIN VILL,
MXG9,174,BEACON VALLEY,CENTURY CITY,
MXK7;MXG7;MXG6;MXO6,174,CENTURY CITY,TOWN CENTRE,
MXS1;MXR4,174,CENTURY CITY,TAFELSIG LOST CITY,
CHA0;CHB0;CHA1,175,HANOVER PARK,KILLARNEY,
MID5;MID8,175,ROCKLANDS,TOWN CENTRE,
MXA3;MXA5;MXF8;MXA8;MXE4,175,KILLARNEY GARDENS,TOWN CENTRE,
MXD4,175,HANOVER PARK,KILLARNEY GARDENS,
MXF0;MXF1,175,KILLARNEY,KILLARNEY GARDENS,
OOB4,175,STRANDFONTEIN VILL,TOWN CENTRE,
MXQ1;MXQ6,175,KILLARNEY GARDENS,STRANDFONTEIN VILL,
MXL2,175,CENTURY CITY,STRANDFONTEIN VILL,
PBA3,175,ALVINCO,STRANDFONTEIN VILL,
MXK7;MXG7;MXG6;MXO6,175,CENTURY CITY,TOWN CENTRE,
MKO2;MXS7;MXM1;MXJ6,175,KILLARNEY,TOWN CENTRE,
OLA1;OLA0;MGC2,175,HANOVER PARK,TOWN CENTRE,
PBA2,175,A.D.E.,STRANDFONTEIN VILL,
MXI0,175,KILLARNEY GARDENS,TOWN CENTRE,ROCKLANDS
CHA6,175,CENTURY CITY,HANOVER PARK,
DAL9;DAB1;DAG2;DAG3;DAI3,177,BLAAUWBERG RIDGE,KILLARNEY,
DTE9;DTA8,177,BONTEHEUWEL,KILLARNEY,
MXF0;MXF1,177,KILLARNEY,KILLARNEY,
KKB8;KKE2;KKG2;KKB9;KKH0;KKG9;KKE5,179,KILLARNEY,MAKHAZA,
MXF0;MXF1,179,KILLARNEY,KILLARNEY,
YEQ0,179,CAMBRIDGE,OUDE MOLEN SCH,
YEB8,179,MAITLAND HIGH SCHOOL;MAITLAND SCHLS,MAKHAZA,
AFA8,181,BELLVILLE,SACKS CIRCLE,
APF4,181,NYANGA TERM,VREDEKLOOF,
BAA0,181,BELLVILLE,DURBANVILLE,
BAB1,181,BELLVILLE,TYGER VALLEY CENTRE,
KBJ1;KBP5;KBE4;KBJ8;KBM1;KBM5,181,DURBANVILLE,MAKHAZA,
ECA0;ECA1;ECA4;ECA5;ECA6;ECA8;ECB6;ECB3,181,BELLVILLE,NYANGA TERM,
ECA3;ECD7;ECF8,181,DURBANVILLE,NYANGA TERM,
ECC7,181,NYANGA TERM,TYGER VALLEY CENTRE,
FPA1;FPA5,181,BELLVILLE,KENRIDGE,
KBA3;KBC6;KBC7;KBD3;KBJ5;KBK6;KBA2;KBJ4;KBK8;KBP7;KBP9;KBH7,181,BELLVILLE,VILLAGE 3,
KBA4;KBF3,181,DURBANVILLE,VILLAGE 3,
KBA6;KBF0;KBI0;KBM4;KBM7;KBQ3;KBH2,181,MAKHAZA,VREDEKLOOF,
KBA9;KBD2,181,HARARE,TYGER VALLEY CENTRE,
KBB1;KBG7;KBD1,181,MAKHAZA,TYGER VALLEY CENTRE,
KBB3,181,BELLVILLE,ENKANINI,
KBB4,181,MAKHAYA,VREDEKLOOF,
KBB7;KBC5;KBK3;KBL7;KBN9;KBQ4,181,DURBANVILLE,HARARE,
KBC1;KBC2;KBF4;KBF5;KBG3;KBI9;KBL9;KBQ1;KBG2;KBH8;KBJ0;KBF2,181,BELLVILLE,HARARE,
KBC4,181,J BLOCK,VREDEKLOOF,
KBD0;KBE8;KBE9;KBF7;KBF9;KBH4;KBI3;KBJ9;KBO1;KBO4;KBP1;KBQ2;KBL0;KBA7,181,BELLVILLE,MAKHAZA,
KBD4;KBM3;KBQ5,181,VILLAGE 3,VREDEKLOOF,
KBD7;KBO2;KBP0,181,DURBANVILLE,ENKANINI,
KBF8,181,ENKANINI,TYGER VALLEY CENTRE,
KBH3,181,DURBANVILLE,MANDALAY,
KBJ2;KBL4,181,BELLVILLE,SITE C,
KBL8;KBB8,181,TYGER VALLEY CENTRE,VILLAGE 3,
KBM6,181,ENKANINI,VREDEKLOOF,
KBN2;KBR9;KBT7;KBM9,181,HARARE,VREDEKLOOF,
KSD6;KSH6,181,HARARE,KUILS RIVER TERM,
MBD8;MBH1;MBI5,181,TAFELSIG LOST CITY,TYGER VALLEY CENTRE,
MBJ6;MBL1,181,BELLVILLE,TAFELSIG LOST CITY,
MNE3,181,KUILS RIVER TERM,TAFELSIG LOST CITY,
RVA3;RVD1,181,HARARE,KUILS RIVER TERM,
RVB2;RVC9,181,KUILS RIVER TERM,SITE C,
RVC8,181,KUILS RIVER TERM,SITE C,
YER8;YEF8,181,BELLVILLE,DURBANVILLE,
KBP4,181,DURBANVILLE,SITE C,
KBL6,181,BELLVILLE,J BLOCK,
KBE6,181,BELLVILLE,MAKHAZA,SACKS CIRCLE
APD7;APD6,182,NYANGA TERM,PHILIPPI EAST SAP,
FGA2;FGA3;FGA6;FGA7,182,NYANGA TERM,TYGERBERG STN,
FGA4;FGA5;FGB6,182,NYANGA TERM,PAROW,
FGA9;FGB0;FGA8,182,PHILIPPI EAST SAP,TYGERBERG STN,
FGC1,182,PAROW,PHILIPPI EAST SAP,
KTB3,182,KARL BREMER HOSP,NYANGA TERM,
ADA1;ADD0;ADD1;ADA0;FPA9;ADA3,183,BELLVILLE,CAPE TOWN,
FPA1;FPA5,183,BELLVILLE,KENRIDGE,
FPA2,183,CAPE TOWN,KENRIDGE,
DAD8;DAI0,184,KILLARNEY,MOWBRAY,
MXF0;MXF1,184,KILLARNEY,KILLARNEY,
MIC0;MIE8;MIE9;MIF2;MIF3,185,BEACON VALLEY,TOWN CENTRE,
MID5;MID8,186,ROCKLANDS,TOWN CENTRE,
MXH1;MXI7;MXH0;MXH2,186,METRO,TOWN CENTRE,
APA9;APA8,187,CLAREMONT,PHILIPPI EAST SAP,
KSE2;KSE3;KSE6;KSF2,188,SITE C,SOMERSET WEST,
YEK3;YEK4;YEK8;YEK9;YEK7;YEK5;YEK2,188,SITE C,TOWN CENTRE,
KSK7;KSF3,188,SOMERSET WEST,TOWN CENTRE,
KSD5;KSG0,188,SOMERSET MALL,TOWN CENTRE,
LBB2,189,KOMMETJIE,OCEAN VIEW,
LBA2;LBA4;LBE8;LBE9;LBA5;LBC5;LBE6,189,MURDOCH VALLEY,OCEAN VIEW,
LCD4;LCF4;LCF5,189,DA GAMA PARK,MURDOCH VALLEY,
LCC2;LCC3;LSB6,189,FISH HOEK SCH,MURDOCH VALLEY,
LAB2;LAA0;LAA5;LAD3;LAC4;LAA4;LAA1;LAB3;LAE5,189,FISH HOEK SCH,OCEAN VIEW,
LSA3,189,DA GAMA PARK,FISH HOEK SCH,
LCB6,189,DA GAMA PARK,FISH HOEK SCH,
LSD8;LSD4,189,FISH HOEK SCH,OCEAN VIEW,
LSH4,189,FISH HOEK SCH,KOMMETJIE,
LAD1;LAE7;LAC3;LAC2;LAB0,189,FISH HOEK SCH,KOMMETJIE,
LSI0,189,FISH HOEK SCH,NOORDHOEK,
LAB4;LAA7;LAB5;LAF0;LAF8,189,FISH HOEK SCH,NOORDHOEK,
LCC0,189,MURDOCH VALLEY,NOORDHOEK,
LBC3;LBC2,189,NOORDHOEK,OCEAN VIEW,
LCB3,190,PERDEKLOOF,SIMONSTOWN,
LCC9,190,DA GAMA PARK,SIMONSTOWN,
LCG2,190,DA GAMA PARK,PERDEKLOOF,
LCD4;LCF4;LCF5,190,DA GAMA PARK,MURDOCH VALLEY,
LCA0;LCA1,190,MURDOCH VALLEY,SIMONSTOWN,
MNS9;MNI8;MNI9;MNZ1;MNS8,192,ALEXANDRA HOSP,ELECTRIC CITY,
KSD8;KSD9,193,ARTSCAPE;ARTSCAPE (HERTZOG BL,STRAND,
BFB5;BFC2,195,EINDHOVEN,TYGERBERG STN,
CSA3,196,BONTEHEUWEL,HANOVER PARK,
AJB8,196,BONTEHEUWEL,WYNBERG,
CPA7,196,HANOVER PARK,WYNBERG,
COF1,197,EPPING IND,STEENBERG,LAVENDER HILL;LOTUS RIVER
COF0,197,EPPING IND,STEENBERG,
MNS9;MNI8;MNI9;MNZ1;MNS8,210,ALEXANDRA HOSP,ELECTRIC CITY,
RRA6;RRA7,211,ARTSCAPE (HERTZOG BL,FIRGROVE,
BAA0,212,BELLVILLE,DURBANVILLE,
YER8;YEF8,212,BELLVILLE,DURBANVILLE,
DZB0,212,CHATSWORTH,TYGERBERG HOSP,
QSC1,212,MALMESBURY,UWC,
BAB1,213,BELLVILLE,TYGER VALLEY CENTRE,
MBA1;MBA0,213,BELLVILLE,STRAND,
MBB2,213,BELLVILLE,STRAND,
MBE4,213,STRAND,TYGER VALLEY CENTRE,
OPA1;OPB7;OPK4;OPP4;OPG4;OPP8;OPA2;OPA8;OPB0;OPB2;OPM4;OPN4;OPP9;OPW2;OPR8;OPY4;OPD8;OPA0;OPE5;OPT7;OPV3;OPZ6;OPX1;OPY3;OPA3;OPH2;OPH3;OPA5;OPB1;OPB4;OPA4;OPB5,214,CAPE TOWN,TOWN CENTRE,
OPF2;OPD2;OPD0,214,CAPE TOWN,KAPTEINSKLIP STN,
KMB3;KMB7;KMB9;KMJ6;KMP9,215,CAPE TOWN,ENKANINI,
FTA1,216,CLAREMONT,MOWBRAY,
FUA4;FUA0;FUA1;FUA2,216,CLAREMONT,RONDEBOSCH,
BAA0,105A,BELLVILLE,DURBANVILLE,
DAL9;DAB1;DAG2;DAG3;DAI3,105A,BLAAUWBERG RIDGE,KILLARNEY,
DZA5;DZA4,105A,DURBANVILLE,KILLARNEY,
MXF0;MXF1,105A,KILLARNEY,KILLARNEY GARDENS,
YER8;YEF8,105A,BELLVILLE,DURBANVILLE,
DYA4;DYA5,105A,BELLVILLE,MAMRE (PARADISE RD),
DYG4,105A,BELLVILLE,SAXONSEA,
PAF2;PAB4;PAY3,105A,ATLANTIS,MONTAGUE GARDENS,
DYA6,105A,MAMRE (PARADISE RD),MONTAGUE GARDENS,
PAK7;PAR7;PAA5,105A,ATLANTIS,KILLARNEY,
DZB0,105A,CHATSWORTH,TYGERBERG HOSP,
QSD4,105A,CHATSWORTH,MONTAGUE GARDENS,
PAG8;PAB7,105A,ATLANTIS,BELLVILLE,
DZA7,105A,BELLVILLE,BLAAUWBERG RIDGE,
DYF4,105A,KILLARNEY,MAMRE (PARADISE RD),
DZC5;DZA9,105A,BELLVILLE,KILLARNEY,
CKA3;CKC1,105A,KILLARNEY,TYGERBERG HOSP,
CKA2,105A,KILLARNEY GARDENS,TYGERBERG HOSP,
BAB2;BAB4,15A,CAPE GATE,CAPE TOWN,
APD7;APD6,45A,NYANGA TERM,PHILIPPI EAST SAP,
ECC2,45A,AIRPORT IND,NYANGA TERM,
ECC3,45A,AIRPORT IND,NYANGA TERM,
EDA0;EDB1;EDA1,45A,ELSIES RIVER,NYANGA TERM,
EDA7,45A,PANORAMA MEDI CLINIC,PHILIPPI EAST SAP,
EDA2;EDA4;EDA3;EDA5,45A,NYANGA TERM,PANORAMA MEDI CLINIC,
EDB3,45A,N1 CITY,NYANGA TERM,
APG1,45A,ELSIES RIVER,PHILIPPI EAST SAP,
APK6,45A,PANORAMA MEDI CLINIC,PHILIPPI EAST SAP,N1 CITY
EXB4;EXC0;EXC1;EXC2,45A,ELSIES RIVER,PANORAMA MEDI CLINIC,
KKE9,66A,CENTURY CITY,VILLAGE 3,
KKF3;KKY1;KKF2,66A,CENTURY CITY,MAKHAZA,
KKH8;KKH9;KKX9;KKH3,66A,CENTURY CITY,HARARE,
KKV1,66A,CENTURY CITY,ENKANINI,
KXA8;KXA9,66A,DRIFTSANDS,SITE C,
