trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,NDABENI,PINELANDS,LANGA,BONTEHEUWEL,NETREG,HEIDEVELD,NYANGA,PHILIPPI,LENTEGEUR,MITCHELLS PL.,KAPTEINSKLIP
9527,SATURDAYS,outbound,S12,11:15,11:18,11:21,11:23,11:26,11:29,11:31,11:36,11:40,11:43,11:46,11:50,11:54,12:00,12:03,12:06
9529,SATURDAYS,outbound,S12,11:50,11:53,11:56,11:58,12:01,12:04,12:06,12:11,12:15,12:18,12:21,12:25,12:29,12:35,12:38,12:41
9531,SATURDAYS,outbound,S12,12:20,12:23,12:26,12:28,12:31,12:34,12:36,12:41,12:45,12:48,12:51,12:55,12:59,13:05,13:08,13:11
9533,SATURDAYS,outbound,S12,12:50,12:53,12:56,12:58,13:01,13:04,13:06,13:11,13:15,13:18,13:21,13:25,13:29,13:35,13:38,13:41
9535,SATURDAYS,outbound,S12,13:20,13:23,13:26,13:28,13:31,13:34,13:36,13:41,13:45,13:48,13:51,13:55,13:59,14:05,14:08,14:11
9537,SATURDAYS,outbound,S12,14:00,14:03,14:06,14:08,14:11,14:14,14:16,14:21,14:25,14:28,14:31,14:35,14:39,14:45,14:48,14:51
9539,SATURDAYS,outbound,S12,14:30,14:33,14:36,14:38,14:41,14:44,14:46,14:51,14:55,14:58,15:01,15:05,15:09,15:15,15:18,15:21
9541,SATURDAYS,outbound,S12,15:00,15:03,15:06,15:08,15:11,15:14,15:16,15:21,15:25,15:28,15:31,15:35,15:39,15:45,15:48,15:51
9543,SATURDAYS,outbound,S12,15:35,15:38,15:41,15:43,15:46,15:49,15:51,15:56,16:00,16:03,16:06,16:10,16:14,16:20,16:23,16:26
9545,SATURDAYS,outbound,S12,16:15,16:18,16:21,16:23,16:26,16:29,16:31,16:36,16:40,16:43,16:46,16:50,16:54,17:00,17:03,17:06
9547,SATURDAYS,outbound,S12,16:55,16:58,17:01,17:03,17:06,17:09,17:11,17:16,17:20,17:23,17:26,17:30,17:34,17:40,17:43,17:46
9549,SATURDAYS,outbound,S12,17:30,17:33,17:36,17:38,17:41,17:44,17:46,17:51,17:55,17:58,18:01,18:05,18:09,18:15,18:18,18:21
9551,SATURDAYS,outbound,S12,18:08,18:11,18:14,18:16,18:19,18:22,18:24,18:29,18:33,18:36,18:39,18:43,18:47,18:53,18:56,18:59
9553,SATURDAYS,outbound,S12,18:50,18:53,18:56,18:58,19:01,19:04,19:06,19:11,19:15,19:18,19:21,19:25,19:29,19:35,19:38,19:41
9555,SATURDAYS,outbound,S12,19:45,19:48,19:51,19:53,19:56,19:59,20:01,20:06,20:12,20:15,20:18,20:22,20:26,20:32,20:35,20:38
9502,SATURDAYS,inbound,S12,05:49,05:45,05:42,05:39,05:37,05:34,05:32,05:27,05:24,05:20,05:17,05:14,05:09,05:04,05:00,04:57
9504,SATURDAYS,inbound,S12,06:17,06:13,06:10,06:07,06:05,06:02,06:00,05:55,05:52,05:48,05:45,05:42,05:37,05:32,05:28,05:25
9506,SATURDAYS,inbound,S12,06:42,06:38,06:35,06:32,06:30,06:27,06:25,06:20,06:17,06:13,06:10,06:07,06:02,05:57,05:53,05:50
9508,SATURDAYS,inbound,S12,07:07,07:03,07:00,06:57,06:55,06:52,06:50,06:45,06:42,06:38,06:35,06:32,06:27,06:22,06:18,06:15
9510,SATURDAYS,inbound,S12,07:32,07:28,07:25,07:22,07:20,07:17,07:15,07:10,07:07,07:03,07:00,06:57,06:52,06:47,06:43,06:40
9512,SATURDAYS,inbound,S12,07:52,07:48,07:45,07:42,07:40,07:37,07:35,07:30,07:27,07:23,07:20,07:17,07:12,07:07,07:03,07:00
9514,SATURDAYS,inbound,S12,08:17,08:13,08:10,08:07,08:05,08:02,08:00,07:55,07:52,07:48,07:45,07:42,07:37,07:32,07:28,07:25
9516,SATURDAYS,inbound,S12,08:42,08:38,08:35,08:32,08:30,08:27,08:25,08:20,08:17,08:13,08:10,08:07,08:02,07:57,07:53,07:50
9518,SATURDAYS,inbound,S12,09:12,09:08,09:05,09:02,09:00,08:57,08:55,08:50,08:47,08:43,08:40,08:37,08:32,08:27,08:23,08:20
9520,SATURDAYS,inbound,S12,09:37,09:33,09:30,09:27,09:25,09:22,09:20,09:15,09:12,09:08,09:05,09:02,08:57,08:52,08:48,08:45
9522,SATURDAYS,inbound,S12,10:02,09:58,09:55,09:52,09:50,09:47,09:45,09:40,09:37,09:33,09:30,09:27,09:22,09:17,09:13,09:10
9524,SATURDAYS,inbound,S12,10:32,10:28,10:25,10:22,10:20,10:17,10:15,10:10,10:07,10:03,10:00,09:57,09:52,09:47,09:43,09:40
9526,SATURDAYS,inbound,S12,11:02,10:58,10:55,10:52,10:50,10:47,10:45,10:40,10:37,10:33,10:30,10:27,10:22,10:17,10:13,10:10
9528,SATURDAYS,inbound,S12,11:32,11:28,11:25,11:22,11:20,11:17,11:15,11:10,11:07,11:03,11:00,10:57,10:52,10:47,10:43,10:40
9530,SATURDAYS,inbound,S12,12:02,11:58,11:55,11:52,11:50,11:47,11:45,11:40,11:37,11:33,11:30,11:27,11:22,11:17,11:13,11:10
9532,SATURDAYS,inbound,S12,12:37,12:33,12:30,12:27,12:25,12:22,12:20,12:15,12:12,12:08,12:05,12:02,11:57,11:52,11:48,11:45
9534,SATURDAYS,inbound,S12,13:12,13:08,13:05,13:02,13:00,12:57,12:55,12:50,12:47,12:43,12:40,12:37,12:32,12:27,12:23,12:20
9536,SATURDAYS,inbound,S12,13:42,13:38,13:35,13:32,13:30,13:27,13:25,13:20,13:17,13:13,13:10,13:07,13:02,12:57,12:53,12:50
9538,SATURDAYS,inbound,S12,14:12,14:08,14:05,14:02,14:00,13:57,13:55,13:50,13:47,13:43,13:40,13:37,13:32,13:27,13:23,13:20
9540,SATURDAYS,inbound,S12,14:42,14:38,14:35,14:32,14:30,14:27,14:25,14:20,14:17,14:13,14:10,14:07,14:02,13:57,13:53,13:50
9542,SATURDAYS,inbound,S12,15:12,15:08,15:05,15:02,15:00,14:57,14:55,14:50,14:47,14:43,14:40,14:37,14:32,14:27,14:23,14:20
9544,SATURDAYS,inbound,S12,15:57,15:53,15:50,15:47,15:45,15:42,15:40,15:35,15:32,15:28,15:25,15:22,15:17,15:12,15:08,15:05
9546,SATURDAYS,inbound,S12,16:27,16:23,16:20,16:17,16:15,16:12,16:10,16:05,16:02,15:58,15:55,15:52,15:47,15:42,15:38,15:35
9548,SATURDAYS,inbound,S12,17:00,16:56,16:53,16:50,16:48,16:45,16:43,16:38,16:35,16:31,16:28,16:25,16:20,16:15,16:11,16:08
9550,SATURDAYS,inbound,S12,17:27,17:23,17:20,17:17,17:15,17:12,17:10,17:05,17:02,16:58,16:55,16:52,16:47,16:42,16:38,16:35
9552,SATURDAYS,inbound,S12,18:12,18:08,18:05,18:02,18:00,17:57,17:55,17:50,17:47,17:43,17:40,17:37,17:32,17:27,17:23,17:20
9554,SATURDAYS,inbound,S12,18:52,18:48,18:45,18:42,18:40,18:37,18:35,18:30,18:27,18:23,18:20,18:17,18:12,18:07,18:03,18:00
9556,SATURDAYS,inbound,S12,20:02,19:58,19:55,19:52,19:50,19:47,19:45,19:40,19:37,19:33,19:30,19:27,19:22,19:17,19:13,19:10
9507,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,08:50,08:53,08:56,08:58,09:01,09:04,09:06,09:11,09:15,09:18,09:21,09:25,09:29,09:35,09:38,09:41
9509,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,09:45,09:48,09:51,09:53,09:56,09:59,10:01,10:06,10:10,10:13,10:16,10:20,10:24,10:30,10:33,10:36
9511,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,10:45,10:48,10:51,10:53,10:56,10:59,11:01,11:06,11:10,11:13,11:16,11:20,11:24,11:30,11:33,11:36
9513,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,11:35,11:38,11:41,11:42,11:46,11:49,11:51,11:56,12:00,12:03,12:06,12:10,12:14,12:20,12:23,12:26
9515,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,12:35,12:38,12:41,12:43,12:46,12:49,12:51,12:56,13:00,13:03,13:06,13:10,13:14,13:20,13:23,13:26
9517,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,13:35,13:38,13:41,13:43,13:46,13:49,13:51,13:56,14:00,14:03,14:06,14:10,14:14,14:20,14:23,14:26
9519,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,14:35,14:38,14:41,14:43,14:46,14:49,14:51,14:56,15:00,15:03,15:06,15:10,15:14,15:20,15:23,15:26
9521,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,15:35,15:38,15:41,15:43,15:46,15:49,15:51,15:56,16:00,16:03,16:06,16:10,16:14,16:20,16:23,16:26
9523,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,16:30,16:33,16:36,16:38,16:41,16:44,16:46,16:51,16:55,16:58,17:01,17:05,17:09,17:15,17:18,17:21
9525,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,17:10,17:13,17:16,17:18,17:21,17:24,17:26,17:31,17:35,17:38,17:41,17:45,17:49,17:55,17:58,18:01
9527,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,18:00,18:03,18:06,18:08,18:11,18:14,18:16,18:21,18:25,18:28,18:31,18:35,18:39,18:45,18:48,18:51
9529,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,18:45,18:48,18:51,18:53,18:56,18:59,19:01,19:06,19:10,19:13,19:16,19:20,19:24,19:30,19:33,19:36
9531,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,19:55,19:58,20:01,20:03,20:06,20:09,20:11,20:16,20:20,20:23,20:26,20:30,20:34,20:40,20:43,20:46
9502,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,05:47,05:43,05:40,05:37,05:35,05:32,05:30,05:25,05:22,05:15,05:12,05:09,05:04,04:59,04:55,04:52
9504,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,06:27,06:23,06:20,06:17,06:15,06:12,06:10,06:05,06:02,05:55,05:52,05:49,05:44,05:39,05:35,05:32
9506,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,07:07,07:03,07:00,06:57,06:55,06:52,06:50,06:45,06:42,06:36,06:33,06:30,06:25,06:20,06:16,06:13
9508,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,07:47,07:43,07:40,07:37,07:35,07:32,07:30,07:25,07:22,07:16,07:13,07:10,07:05,07:00,06:56,06:53
9510,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,08:42,08:38,08:35,08:32,08:30,08:27,08:25,08:20,08:17,08:13,08:10,08:07,08:02,07:57,07:53,07:50
9512,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,09:47,09:43,09:40,09:37,09:35,09:32,09:30,09:25,09:22,09:16,09:13,09:10,09:05,09:00,08:56,08:53
9514,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,10:47,10:43,10:40,10:37,10:35,10:32,10:30,10:25,10:22,10:16,10:13,10:10,10:05,10:00,09:56,09:53
9516,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,11:42,11:38,11:35,11:32,11:30,11:27,11:25,11:20,11:17,11:13,11:10,11:07,11:02,10:57,10:53,10:50
9518,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,12:42,12:38,12:35,12:32,12:30,12:27,12:25,12:20,12:17,12:13,12:10,12:07,12:02,11:57,11:53,11:50
9520,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,13:32,13:28,13:25,13:22,13:20,13:17,13:15,13:10,13:07,13:03,13:00,12:57,12:52,12:47,12:43,12:40
9522,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,14:32,14:28,14:25,14:22,14:20,14:17,14:15,14:10,14:07,14:03,14:00,13:57,13:52,13:47,13:43,13:40
9524,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,15:32,15:28,15:25,15:22,15:20,15:17,15:15,15:10,15:07,15:03,15:00,14:57,14:52,14:47,14:43,14:40
9526,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,16:32,16:28,16:25,16:22,16:20,16:17,16:15,16:10,16:07,16:03,16:00,15:57,15:52,15:47,15:43,15:40
9528,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,17:27,17:23,17:20,17:17,17:15,17:12,17:10,17:05,17:02,16:58,16:55,16:52,16:47,16:42,16:38,16:35
9530,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,18:22,18:18,18:15,18:12,18:10,18:07,18:05,18:00,17:57,17:53,17:50,17:47,17:42,17:37,17:33,17:30
9532,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,19:07,19:03,19:00,18:57,18:55,18:52,18:50,18:45,18:42,18:38,18:35,18:32,18:27,18:22,18:18,18:15
9534,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S12,19:52,19:48,19:45,19:42,19:40,19:37,19:35,19:30,19:27,19:23,19:20,19:17,19:12,19:07,19:03,19:00
9566,MONDAYS TO FRIDAYS,inbound,S12,06:35,06:31,06:28,06:25,06:23,06:20,06:18,06:13,06:10,06:06,06:02,05:58,05:53,05:49,05:45,05:42
9508,MONDAYS TO FRIDAYS,inbound,S12,06:43,06:39,06:36,06:33,06:31,06:28,06:26,06:21,06:18,06:14,06:10,06:06,06:01,05:57,05:53,05:50
9510,MONDAYS TO FRIDAYS,inbound,S12,06:53,06:49,06:46,06:43,06:41,06:38,06:36,06:31,06:28,06:24,06:20,06:16,06:11,06:07,06:03,06:00
9572,MONDAYS TO FRIDAYS,inbound,S12,07:01,06:57,06:54,06:51,06:49,06:46,06:44,06:39,06:36,06:31,06:27,06:23,06:24,06:19,06:15,06:12
9512,MONDAYS TO FRIDAYS,inbound,S12,07:13,07:09,07:06,07:03,07:01,06:58,06:56,06:51,06:48,06:44,06:40,06:36,06:31,06:27,06:23,06:20
9514,MONDAYS TO FRIDAYS,inbound,S12,07:33,07:29,07:26,07:23,07:21,07:18,07:16,07:11,07:08,07:04,07:00,06:56,06:51,06:47,06:43,06:40
9501,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,05:50,05:53,05:56,05:58,06:01,06:04,06:06,06:11,06:15,06:18,06:21,06:25,06:29,06:35,06:38,06:41
9503,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,06:50,06:53,06:56,06:58,07:01,07:04,07:06,07:11,07:15,07:18,07:21,07:25,07:29,07:35,07:38,07:41
9505,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S12,07:50,07:53,07:56,07:58,08:01,08:04,08:06,08:11,08:15,08:18,08:21,08:25,08:29,08:35,08:38,08:41
9532,MONDAYS TO FRIDAYS,inbound,S12,,,,,,,,11:05,11:02,10:58,10:54,10:50,10:46,10:42,10:38,10:35
